,generation,best,average,worst
199,199,169742.0,-166544.955,-1088259.0
200,200,178277.0,-140714.245,-1083838.0
201,201,172973.0,-121895.065,-1013733.0
202,202,174056.0,-126091.64,-1237910.0
203,203,185963.0,-101958.64,-898304.0
204,204,172972.0,-99581.39,-1044124.0
205,205,174508.0,-131469.06,-1283122.0
206,206,166532.0,-116642.93,-1557726.0
207,207,180205.0,-110844.2,-967315.0
208,208,163085.0,-122209.65,-1083474.0
209,209,190303.0,-110116.815,-792879.0
210,210,201455.0,-109501.47,-935695.0
211,211,195630.0,-90863.725,-818413.0
212,212,208005.0,-154755.89,-1091179.0
213,213,208005.0,-86425.895,-738128.0
214,214,208005.0,-120304.005,-1088051.0
215,215,209838.0,-124180.46,-1174692.0
216,216,203312.0,-128307.88,-1071748.0
217,217,188376.0,-71437.34,-1155253.0
218,218,185819.0,-98418.68,-1056293.0
219,219,193070.0,-89480.21,-1110644.0
220,220,182180.0,-107183.215,-972063.0
221,221,193543.0,-73303.44,-831218.0
222,222,179993.0,-144506.365,-1088897.0
223,223,196789.0,-79270.09,-925525.0
224,224,187112.0,-76599.14,-854629.0
225,225,206709.0,-109262.1,-1124644.0
226,226,200280.0,-125757.785,-978545.0
227,227,197945.0,-79337.295,-986248.0
228,228,174358.0,-108746.335,-902804.0
229,229,181504.0,-132750.67,-1031075.0
230,230,192463.0,-109105.15,-1084804.0
231,231,182416.0,-115650.08,-1059304.0
232,232,194075.0,-136233.63,-913864.0
233,233,186530.0,-103810.88,-764829.0
234,234,196884.0,-96708.665,-988871.0
235,235,205947.0,-88839.21,-819082.0
236,236,205947.0,-74920.35,-940397.0
237,237,208009.0,-54483.335,-918376.0
238,238,214882.0,-107984.075,-767012.0
239,239,214882.0,-57298.98,-694527.0
240,240,217366.0,-71575.155,-979400.0
241,241,224851.0,-86759.9,-841188.0
242,242,199442.0,-96362.005,-1021810.0
243,243,199767.0,-109955.34,-897025.0
244,244,192602.0,-102768.13,-790395.0
245,245,187702.0,-106810.795,-1003384.0
246,246,207167.0,-97544.095,-1097168.0
247,247,198076.0,-124644.265,-871631.0
248,248,176412.0,-105975.515,-1146243.0
249,249,186740.0,-69756.635,-866465.0
250,250,193268.0,-77214.73,-966119.0
251,251,213810.0,-67721.105,-958502.0
252,252,205868.0,-51311.43,-905637.0
253,253,210929.0,-38829.485,-645677.0
254,254,196225.0,-63633.31,-723667.0
255,255,213505.0,-66764.36,-983225.0
256,256,205204.0,-23606.545,-766887.0
257,257,220276.0,-36075.605,-829169.0
258,258,233979.0,-4973.075,-791024.0
259,259,214508.0,-35612.575,-591929.0
260,260,217388.0,-23048.535,-1082644.0
261,261,214780.0,-35650.91,-534148.0
262,262,225658.0,-4466.825,-756796.0
263,263,220505.0,-46597.915,-729190.0
264,264,210621.0,-39310.675,-768097.0
265,265,216294.0,-29995.38,-861201.0
266,266,224821.0,-22805.625,-864662.0
267,267,225185.0,-33380.93,-708641.0
268,268,223007.0,-32860.09,-683633.0
269,269,232615.0,-19728.85,-543031.0
270,270,243246.0,6312.22,-737318.0
271,271,237913.0,-2079.53,-687317.0
272,272,233196.0,16062.87,-543657.0
273,273,221247.0,9396.955,-724689.0
274,274,222806.0,8631.85,-933497.0
275,275,246047.0,22630.6,-796050.0
276,276,249073.0,27444.55,-892171.0
277,277,244068.0,36827.015,-612386.0
278,278,244107.0,53592.045,-633043.0
279,279,257946.0,13307.12,-726029.0
280,280,259955.0,32651.085,-629290.0
281,281,255983.0,50623.745,-659932.0
282,282,259215.0,50031.11,-599776.0
283,283,258037.0,95698.965,-388917.0
284,284,265762.0,100317.98,-412196.0
285,285,265776.0,102811.06,-588076.0
286,286,267804.0,99511.875,-437826.0
287,287,262443.0,99672.68,-802092.0
288,288,260069.0,99956.86,-403444.0
289,289,268733.0,81426.035,-484527.0
290,290,268733.0,112896.305,-471241.0
291,291,273622.0,91765.81,-589249.0
292,292,263598.0,80008.26,-619970.0
293,293,283761.0,87319.815,-472137.0
294,294,283761.0,74569.875,-597839.0
295,295,274163.0,92045.21,-508098.0
296,296,278968.0,84477.13,-374832.0
297,297,275938.0,46511.95,-554535.0
298,298,273393.0,66937.96,-536251.0
299,299,283571.0,75891.415,-509198.0
300,300,281121.0,66037.295,-442625.0
301,301,278976.0,84408.1,-485199.0
302,302,277983.0,96615.575,-356827.0
303,303,271338.0,76523.825,-485870.0
304,304,276892.0,74853.43,-535152.0
305,305,279018.0,81193.365,-687722.0
306,306,278705.0,107615.075,-297778.0
307,307,278705.0,94596.44,-557859.0
308,308,279957.0,73827.005,-398499.0
309,309,279957.0,85721.665,-699802.0
310,310,279292.0,133874.31,-468282.0
311,311,279292.0,130310.265,-344836.0
312,312,286438.0,136566.4,-264578.0
313,313,286438.0,112248.15,-388817.0
314,314,284380.0,110397.035,-472205.0
315,315,286720.0,126856.37,-413911.0
316,316,288383.0,103379.36,-365489.0
317,317,288383.0,125239.57,-505607.0
318,318,284802.0,132122.21,-368466.0
319,319,285664.0,137172.805,-333182.0
320,320,289194.0,136637.36,-365625.0
321,321,289194.0,130401.04,-273880.0
322,322,291269.0,136856.675,-488416.0
323,323,287331.0,132689.29,-271558.0
324,324,287443.0,145742.34,-342332.0
325,325,288036.0,153040.84,-173363.0
326,326,292046.0,146790.495,-260039.0
327,327,292046.0,150347.62,-167869.0
328,328,292046.0,143277.45,-381951.0
329,329,292046.0,141054.93,-377368.0
330,330,289511.0,158511.905,-264021.0
331,331,289511.0,156774.075,-244986.0
332,332,288442.0,144650.755,-265539.0
333,333,288442.0,153881.115,-349701.0
334,334,289383.0,172470.33,-252358.0
335,335,288442.0,166783.735,-443344.0
336,336,289194.0,168802.185,-259049.0
337,337,288442.0,173327.015,-248104.0
338,338,288442.0,168877.49,-458236.0
339,339,288442.0,172571.285,-173174.0
340,340,288442.0,195683.805,-441394.0
341,341,288442.0,185164.645,-274482.0
342,342,288442.0,185953.825,-283126.0
343,343,288442.0,193375.125,-158826.0
344,344,288442.0,174474.64,-420195.0
345,345,288442.0,173230.775,-367205.0
346,346,288442.0,183551.635,-465681.0
347,347,288442.0,176687.21,-284012.0
348,348,288442.0,184651.095,-539818.0
349,349,288442.0,178640.455,-289329.0
350,350,288442.0,175195.14,-261053.0
351,351,289331.0,173597.685,-331153.0
352,352,289331.0,177503.04,-520060.0
353,353,289331.0,185608.745,-268539.0
354,354,289331.0,181128.785,-237779.0
355,355,289331.0,175615.825,-171096.0
356,356,289331.0,185364.875,-196811.0
357,357,289331.0,173589.39,-174535.0
358,358,289331.0,185636.455,-387931.0
359,359,289331.0,175456.935,-268462.0
360,360,289331.0,186384.18,-327333.0
361,361,289331.0,175081.39,-159227.0
362,362,289331.0,181059.33,-362842.0
363,363,289331.0,174582.51,-262040.0
364,364,289331.0,173708.31,-180914.0
365,365,292132.0,187558.26,-252053.0
366,366,292132.0,172732.965,-498861.0
367,367,292132.0,189570.515,-160872.0
368,368,292132.0,177301.71,-286708.0
369,369,292556.0,175515.015,-224843.0
370,370,292556.0,183167.89,-403180.0
371,371,292971.0,189729.405,-179195.0
372,372,292971.0,188806.92,-171856.0
373,373,292971.0,186875.8,-440717.0
374,374,292971.0,189623.145,-340414.0
375,375,292971.0,186171.955,-257414.0
376,376,292971.0,196045.595,-287639.0
377,377,292971.0,177689.675,-344083.0
378,378,292971.0,165735.5,-275246.0
379,379,292971.0,165638.395,-384696.0
380,380,292971.0,197541.82,-265879.0
381,381,292971.0,184220.77,-197583.0
382,382,292971.0,179735.99,-182348.0
383,383,292971.0,187817.19,-380139.0
384,384,292971.0,175723.065,-279436.0
385,385,292971.0,181487.085,-265732.0
386,386,292971.0,173514.44,-175739.0
387,387,292971.0,184318.76,-175591.0
388,388,292971.0,184979.67,-314466.0
389,389,292971.0,182682.54,-364810.0
390,390,292971.0,184140.775,-312804.0
391,391,292971.0,187220.76,-186133.0
392,392,292971.0,186928.23,-265613.0
393,393,292971.0,188148.43,-362626.0
394,394,292971.0,174558.875,-232615.0
395,395,292971.0,187967.51,-185187.0
396,396,292971.0,194236.355,-123062.0
