generation,best,average,worst
258,271739.0,83146.04,-593304.0
259,271739.0,84075.315,-487223.0
260,271739.0,78843.61,-474423.0
261,271739.0,73290.54,-380571.0
262,272193.0,99334.68,-591431.0
263,272193.0,88265.585,-471026.0
264,273142.0,96278.875,-561459.0
265,273214.0,83007.48,-585906.0
266,273214.0,92522.125,-470019.0
267,273214.0,105902.215,-471855.0
268,273214.0,84128.265,-566277.0
269,273214.0,107769.615,-372648.0
270,273214.0,115120.945,-365505.0
271,273214.0,108572.35,-386247.0
272,273214.0,84690.755,-388329.0
273,273214.0,96855.19,-490751.0
274,273214.0,82047.705,-488145.0
275,273214.0,107785.9,-462468.0
276,273314.0,106405.55,-470354.0
277,274868.0,95032.71,-466720.0
278,274868.0,71778.92,-475367.0
279,276345.0,127027.555,-362898.0
280,276551.0,118806.935,-669321.0
281,276551.0,96838.615,-481887.0
282,276551.0,108635.645,-291075.0
283,276551.0,111192.105,-471092.0
284,276551.0,90920.74,-467553.0
285,276551.0,113839.12,-470065.0
286,276551.0,111015.915,-387230.0
287,278047.0,111019.76,-469044.0
288,278047.0,128793.54,-366870.0
289,278047.0,98026.48,-372333.0
290,280337.0,107475.695,-570696.0
291,280337.0,119090.67,-674057.0
292,280337.0,135244.12,-389066.0
293,280337.0,106981.435,-472700.0
294,281445.0,126737.305,-374794.0
295,281445.0,120365.295,-364860.0
296,281445.0,107389.43,-355597.0
297,281445.0,122896.455,-449975.0
298,281682.0,126004.645,-455599.0
299,281682.0,135196.82,-346217.0
300,281682.0,112720.215,-485398.0
301,281682.0,115828.875,-432113.0
302,283718.0,143056.945,-362479.0
303,283718.0,110626.49,-489410.0
304,283718.0,109580.82,-444594.0
305,283718.0,135925.96,-459930.0
306,286982.0,127940.98,-342379.0
307,286982.0,152223.01,-376424.0
308,286982.0,116714.04,-357131.0
309,286982.0,117288.545,-546435.0
310,287596.0,139302.965,-341130.0
311,287596.0,152519.15,-362354.0
312,287596.0,112573.285,-578531.0
313,288942.0,158009.66,-251447.0
314,288942.0,148289.345,-360702.0
315,290564.0,132888.7,-344621.0
316,290564.0,146830.23,-340433.0
317,290564.0,157236.485,-356180.0
318,294211.0,149239.235,-359831.0
319,294211.0,150968.565,-452373.0
320,294211.0,136914.11,-466234.0
321,294211.0,150583.905,-451905.0
322,294211.0,132660.445,-619030.0
323,294211.0,160432.46,-335628.0
324,294211.0,144213.93,-358544.0
325,294211.0,120548.055,-448917.0
326,294211.0,156041.23,-236971.0
327,294211.0,146781.24,-357344.0
328,294211.0,143759.98,-450388.0
329,294211.0,144623.87,-477066.0
330,295065.0,150415.475,-341908.0
331,295065.0,160412.76,-340285.0
332,295065.0,159079.23,-535909.0
333,295065.0,158728.37,-391238.0
334,295065.0,159824.2,-368028.0
335,295065.0,134825.43,-451843.0
336,295489.0,155627.535,-445350.0
337,295489.0,148461.23,-428942.0
338,295489.0,166791.445,-344934.0
339,295489.0,167554.27,-454208.0
340,295489.0,159110.17,-356921.0
341,295489.0,149439.9,-357441.0
342,295489.0,155237.88,-397355.0
343,295489.0,151992.435,-352499.0
344,295489.0,139794.195,-647115.0
345,295489.0,146179.475,-572562.0
346,295489.0,158383.445,-349359.0
347,295489.0,138964.16,-350205.0
348,295489.0,139527.33,-361049.0
349,295489.0,168464.05,-580560.0
350,296076.0,141212.14,-350909.0
351,296076.0,158884.13,-444067.0
352,296076.0,159879.805,-454532.0
353,296076.0,145926.6,-351531.0
354,296076.0,140322.78,-375419.0
355,296076.0,143966.23,-353583.0
356,296076.0,159523.165,-347228.0
357,297061.0,143391.815,-452172.0
358,297061.0,164043.935,-340345.0
359,297061.0,129159.165,-357812.0
360,297061.0,162291.825,-231560.0
361,297061.0,154420.62,-356504.0
362,299184.0,149271.285,-462969.0
363,299184.0,165208.84,-437512.0
364,299184.0,157454.015,-347930.0
365,299184.0,167581.76,-435926.0
366,299184.0,166271.915,-444575.0
367,300770.0,137194.27,-318221.0
368,303283.0,155478.265,-337044.0
369,303283.0,162737.885,-434902.0
370,303283.0,154094.87,-442887.0
371,303283.0,164889.97,-318794.0
372,303283.0,173276.89,-334666.0
373,303283.0,153605.395,-649888.0
374,303283.0,188521.3,-318477.0
375,303283.0,174600.73,-232016.0
376,303283.0,165733.595,-430617.0
377,303283.0,173451.3,-258200.0
378,303283.0,149723.515,-460383.0
379,303283.0,169577.415,-323965.0
380,303283.0,174117.26,-349561.0
